States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Tamil Nadu,,Total Kharif Pulses,1984-1985,610.40,205.60,337
Tripura,,Total Kharif Pulses,1984-1985,2.80,1.40,500
Uttar Pradesh,,Total Kharif Pulses,1984-1985,727.40,898.90,1236
West Bengal,,Total Kharif Pulses,1984-1985,51.60,33.30,645
India,,Total Kharif Pulses,1984-1985,10425.40,4766.80,457
Andhra Pradesh,,Total Kharif Pulses,1985-1986,831.10,339.70,409
Assam,,Total Kharif Pulses,1985-1986,10.20,7.50,735
Bihar,,Total Kharif Pulses,1985-1986,290.90,197.20,678
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1985-1986,6.30,2.70,429
Delhi,,Total Kharif Pulses,1985-1986,0.60,0.20,333
Gujarat,,Total Kharif Pulses,1985-1986,653.50,280.30,429
Haryana,,Total Kharif Pulses,1985-1986,37.60,35.40,941
Himachal Pradesh,,Total Kharif Pulses,1985-1986,32.40,7.20,222
Jammu & Kashmir,,Total Kharif Pulses,1985-1986,41.60,25.70,618
Karnataka,,Total Kharif Pulses,1985-1986,1177.70,359.60,305
Kerala,,Total Kharif Pulses,1985-1986,7.50,5.50,733
Madhya Pradesh,,Total Kharif Pulses,1985-1986,1554.20,663.60,427
Maharashtra,,Total Kharif Pulses,1985-1986,2139.70,937.00,438
Meghalaya,,Total Kharif Pulses,1985-1986,0.80,0.70,875
Odisha,,Total Kharif Pulses,1985-1986,556.40,327.40,588
Punjab,,Total Kharif Pulses,1985-1986,98.80,92.10,932
Rajasthan,,Total Kharif Pulses,1985-1986,1904.00,99.20,52
Sikkim,,Total Kharif Pulses,1985-1986,5.90,6.00,1017
Tamil Nadu,,Total Kharif Pulses,1985-1986,831.00,316.20,381
Tripura,,Total Kharif Pulses,1985-1986,2.80,1.40,500
Uttar Pradesh,,Total Kharif Pulses,1985-1986,772.80,796.50,1031
West Bengal,,Total Kharif Pulses,1985-1986,58.00,41.00,707
India,,Total Kharif Pulses,1985-1986,11013.80,4542.10,412
Andhra Pradesh,,Total Kharif Pulses,1986-1987,1402.00,412.40,294
Assam,,Total Kharif Pulses,1986-1987,9.90,7.20,727
Bihar,,Total Kharif Pulses,1986-1987,491.40,313.50,638
Dadra & Nagar Haveli  ,,Total Kharif Pulses,1986-1987,5.90,3.90,661
Delhi,,Total Kharif Pulses,1986-1987,1.10,0.40,364
Gujarat,,Total Kharif Pulses,1986-1987,961.30,255.70,266
Haryana,,Total Kharif Pulses,1986-1987,58.90,55.30,939
Himachal Pradesh,,Total Kharif Pulses,1986-1987,56.00,9.10,163
Jammu & Kashmir,,Total Kharif Pulses,1986-1987,79.30,48.20,608
Karnataka,,Total Kharif Pulses,1986-1987,1795.20,597.10,333
Kerala,,Total Kharif Pulses,1986-1987,13.70,10.60,774
Madhya Pradesh,,Total Kharif Pulses,1986-1987,2532.50,909.30,359
Maharashtra,,Total Kharif Pulses,1986-1987,3611.80,1234.30,342
Meghalaya,,Total Kharif Pulses,1986-1987,0.90,0.80,889
Nagaland,,Total Kharif Pulses,1986-1987,2.90,1.80,621
Odisha,,Total Kharif Pulses,1986-1987,928.00,525.80,567
Punjab,,Total Kharif Pulses,1986-1987,158.80,138.00,869
Rajasthan,,Total Kharif Pulses,1986-1987,3387.80,170.40,50
Sikkim,,Total Kharif Pulses,1986-1987,10.60,10.40,981
Tamil Nadu,,Total Kharif Pulses,1986-1987,1107.00,435.80,394
Tripura,,Total Kharif Pulses,1986-1987,4.00,2.10,525
