States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)",,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1968-1969,608.00,691.10,1137,,,,
West Bengal,,Arhar (Tur/Red gram),1968-1969,32.40,23.40,722,,,,
India                             ,,Arhar (Tur/Red gram),1968-1969,2528.90,1815.80,718,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1969-1970,175.30,85.70,489,,,,
Assam,,Arhar (Tur/Red gram),1969-1970,3.90,2.70,692,,,,
Bihar,,Arhar (Tur/Red gram),1969-1970,173.30,145.40,839,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1969-1970,1.20,0.50,417,,,,
Gujarat,,Arhar (Tur/Red gram),1969-1970,90.80,43.50,479,,,,
Haryana,,Arhar (Tur/Red gram),1969-1970,9.80,4.50,459,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1969-1970,0.20,0.10,500,,,,
Jammu & Kashmir,,Arhar (Tur/Red gram),1969-1970,0.30,0.20,667,,,,
Karnataka,,Arhar (Tur/Red gram),1969-1970,297.50,124.20,417,,,,
Kerala ,,Arhar (Tur/Red gram),1969-1970,7.50,3.50,467,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1969-1970,500.80,318.30,636,,,,
Maharashtra,,Arhar (Tur/Red gram),1969-1970,686.20,321.40,468,,,,
Odisha,,Arhar (Tur/Red gram),1969-1970,32.60,18.60,571,,,,
Punjab,,Arhar (Tur/Red gram),1969-1970,1.00,1.00,1000,,,,
Rajasthan ,,Arhar (Tur/Red gram),1969-1970,24.10,8.80,365,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1969-1970,52.20,24.10,462,,,,
Tripura,,Arhar (Tur/Red gram),1969-1970,0.50,0.20,400,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1969-1970,579.10,716.10,1237,,,,
West Bengal,,Arhar (Tur/Red gram),1969-1970,32.40,23.40,722,,,,
India                             ,,Arhar (Tur/Red gram),1969-1970,2668.70,1842.20,690,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1970-1971,198.60,62.10,313,,,,
Assam,,Arhar (Tur/Red gram),1970-1971,4.10,2.90,707,,,,
Bihar,,Arhar (Tur/Red gram),1970-1971,150.30,134.60,896,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1970-1971,1.30,0.50,385,,,,
Delhi ,,Arhar (Tur/Red gram),1970-1971,0.30,0.10,333,,,,
Gujarat,,Arhar (Tur/Red gram),1970-1971,86.00,40.80,474,,,,
Haryana,,Arhar (Tur/Red gram),1970-1971,8.90,4.20,472,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),1970-1971,0.20,0.10,500,,,,
Karnataka,,Arhar (Tur/Red gram),1970-1971,309.10,152.60,494,,,,
Kerala ,,Arhar (Tur/Red gram),1970-1971,5.00,0.90,180,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),1970-1971,500.40,409.30,818,,,,
Maharashtra,,Arhar (Tur/Red gram),1970-1971,639.60,304.50,476,,,,
Meghalaya,,Arhar (Tur/Red gram),1970-1971,0.30,0.10,333,,,,
Odisha,,Arhar (Tur/Red gram),1970-1971,51.20,32.20,629,,,,
Punjab,,Arhar (Tur/Red gram),1970-1971,3.00,1.20,400,,,,
Rajasthan ,,Arhar (Tur/Red gram),1970-1971,25.30,13.20,522,,,,
Tamil Nadu,,Arhar (Tur/Red gram),1970-1971,62.70,23.00,367,,,,
Tripura,,Arhar (Tur/Red gram),1970-1971,0.50,0.20,400,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),1970-1971,582.40,678.50,1165,,,,
West Bengal,,Arhar (Tur/Red gram),1970-1971,25.80,22.30,864,,,,
India                             ,,Arhar (Tur/Red gram),1970-1971,2655.00,1883.30,709,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),1971-1972,186.20,42.30,227,,,,
Assam,,Arhar (Tur/Red gram),1971-1972,4.20,3.00,714,,,,
Bihar,,Arhar (Tur/Red gram),1971-1972,95.10,59.40,625,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),1971-1972,1.60,0.60,375,,,,
Delhi ,,Arhar (Tur/Red gram),1971-1972,0.40,0.10,250,,,,
Gujarat,,Arhar (Tur/Red gram),1971-1972,86.40,44.40,514,,,,
