States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)",,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2002-2003,432.00,150.00,347,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2002-2003,0.50,0.40,800,,,,
Assam,,Arhar (Tur/Red gram),2002-2003,7.00,5.00,714,,,,
Bihar,,Arhar (Tur/Red gram),2002-2003,37.70,43.00,1141,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2002-2003,55.70,24.10,433,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2002-2003,1.50,1.40,933,,,,
Delhi ,,Arhar (Tur/Red gram),2002-2003,0.30,0.30,1000,,,,
Gujarat,,Arhar (Tur/Red gram),2002-2003,313.00,197.10,630,,,,
Haryana,,Arhar (Tur/Red gram),2002-2003,36.30,30.10,829,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),2002-2003,0.30,0.10,333,,,,
Jharkhand,,Arhar (Tur/Red gram),2002-2003,45.00,68.00,1511,,,,
Karnataka,,Arhar (Tur/Red gram),2002-2003,513.70,240.70,469,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2002-2003,303.50,187.90,619,,,,
Maharashtra,,Arhar (Tur/Red gram),2002-2003,1060.00,777.00,733,,,,
Meghalaya,,Arhar (Tur/Red gram),2002-2003,0.80,0.60,750,,,,
Mizoram,,Arhar (Tur/Red gram),2002-2003,0.50,0.30,600,,,,
Nagaland,,Arhar (Tur/Red gram),2002-2003,6.00,6.00,1000,,,,
Odisha,,Arhar (Tur/Red gram),2002-2003,114.30,73.50,643,,,,
Punjab,,Arhar (Tur/Red gram),2002-2003,7.80,6.70,859,,,,
Rajasthan ,,Arhar (Tur/Red gram),2002-2003,16.50,3.90,236,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2002-2003,44.10,24.10,546,,,,
Tripura,,Arhar (Tur/Red gram),2002-2003,1.40,1.00,714,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2002-2003,357.90,341.80,955,,,,
West Bengal,,Arhar (Tur/Red gram),2002-2003,3.10,2.80,903,,,,
India ,,Arhar (Tur/Red gram),2002-2003,3358.90,2185.80,651,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2003-2004,521.00,218.00,418,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2003-2004,0.50,0.40,800,,,,
Assam,,Arhar (Tur/Red gram),2003-2004,7.00,5.00,714,,,,
Bihar,,Arhar (Tur/Red gram),2003-2004,38.90,48.10,1237,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2003-2004,52.30,31.50,602,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2003-2004,1.60,1.40,875,,,,
Delhi ,,Arhar (Tur/Red gram),2003-2004,0.00,0.60,-,,,,
Gujarat,,Arhar (Tur/Red gram),2003-2004,296.70,258.00,870,,,,
Haryana,,Arhar (Tur/Red gram),2003-2004,25.80,31.00,1202,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),2003-2004,0.30,0.00,0,,,,
Jharkhand,,Arhar (Tur/Red gram),2003-2004,74.00,44.00,595,,,,
Karnataka,,Arhar (Tur/Red gram),2003-2004,532.30,199.60,375,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2003-2004,315.10,255.70,811,,,,
Maharashtra,,Arhar (Tur/Red gram),2003-2004,1056.00,695.00,658,,,,
Meghalaya,,Arhar (Tur/Red gram),2003-2004,0.80,0.60,750,,,,
Mizoram,,Arhar (Tur/Red gram),2003-2004,0.30,0.20,667,,,,
Nagaland,,Arhar (Tur/Red gram),2003-2004,7.50,8.00,1067,,,,
Odisha,,Arhar (Tur/Red gram),2003-2004,136.70,95.70,700,,,,
Punjab,,Arhar (Tur/Red gram),2003-2004,9.70,9.00,928,,,,
Rajasthan ,,Arhar (Tur/Red gram),2003-2004,19.50,15.90,815,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2003-2004,45.00,27.50,611,,,,
Tripura,,Arhar (Tur/Red gram),2003-2004,1.40,0.90,643,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2003-2004,368.80,405.90,1101,,,,
Uttarakhand,,Arhar (Tur/Red gram),2003-2004,1.00,1.00,1000,,,,
West Bengal,,Arhar (Tur/Red gram),2003-2004,3.40,3.40,1000,,,,
India ,,Arhar (Tur/Red gram),2003-2004,3515.60,2356.40,670,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2004-2005,480.00,219.00,456,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2004-2005,0.50,0.40,800,,,,
Assam,,Arhar (Tur/Red gram),2004-2005,6.70,4.80,716,,,,
Bihar,,Arhar (Tur/Red gram),2004-2005,35.80,44.20,1235,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2004-2005,60.30,30.80,511,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2004-2005,1.60,1.30,813,,,,
Delhi ,,Arhar (Tur/Red gram),2004-2005,0.30,0.20,667,,,,
Gujarat,,Arhar (Tur/Red gram),2004-2005,254.40,236.00,928,,,,
Haryana,,Arhar (Tur/Red gram),2004-2005,31.00,32.00,1032,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),2004-2005,0.30,0.10,333,,,,
Jharkhand,,Arhar (Tur/Red gram),2004-2005,90.00,49.00,544,,,,
Karnataka,,Arhar (Tur/Red gram),2004-2005,562.00,290.00,516,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2004-2005,327.50,257.00,785,,,,
Maharashtra,,Arhar (Tur/Red gram),2004-2005,1074.00,658.00,613,,,,
Meghalaya,,Arhar (Tur/Red gram),2004-2005,0.80,0.60,750,,,,
Mizoram,,Arhar (Tur/Red gram),2004-2005,0.20,0.20,1000,,,,
Nagaland,,Arhar (Tur/Red gram),2004-2005,6.40,6.00,938,,,,
Odisha,,Arhar (Tur/Red gram),2004-2005,130.10,88.90,683,,,,
Punjab,,Arhar (Tur/Red gram),2004-2005,8.90,7.70,865,,,,
Rajasthan ,,Arhar (Tur/Red gram),2004-2005,16.90,12.60,746,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2004-2005,40.00,25.00,625,,,,
Tripura,,Arhar (Tur/Red gram),2004-2005,1.20,0.80,667,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2004-2005,387.10,380.20,982,,,,
Uttarakhand,,Arhar (Tur/Red gram),2004-2005,1.00,1.00,1000,,,,
West Bengal,,Arhar (Tur/Red gram),2004-2005,1.50,1.10,733,,,,
India ,,Arhar (Tur/Red gram),2004-2005,3518.50,2346.90,667,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2005-2006,494.00,301.00,609,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2005-2006,0.50,0.50,1000,,,,
Assam,,Arhar (Tur/Red gram),2005-2006,6.50,4.50,692,,,,
Bihar,,Arhar (Tur/Red gram),2005-2006,33.30,43.00,1291,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2005-2006,57.50,25.60,445,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2005-2006,1.50,1.30,867,,,,
Delhi ,,Arhar (Tur/Red gram),2005-2006,0.30,0.30,1000,,,,
Gujarat,,Arhar (Tur/Red gram),2005-2006,254.00,280.00,1102,,,,
Haryana,,Arhar (Tur/Red gram),2005-2006,30.00,32.00,1067,,,,
Jharkhand,,Arhar (Tur/Red gram),2005-2006,85.20,53.90,633,,,,
Karnataka,,Arhar (Tur/Red gram),2005-2006,601.00,437.00,727,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2005-2006,322.50,238.40,739,,,,
Maharashtra,,Arhar (Tur/Red gram),2005-2006,1100.00,792.00,720,,,,
Meghalaya,,Arhar (Tur/Red gram),2005-2006,0.80,0.60,750,,,,
Mizoram,,Arhar (Tur/Red gram),2005-2006,0.20,0.20,1000,,,,
Nagaland,,Arhar (Tur/Red gram),2005-2006,8.00,7.60,950,,,,
Odisha,,Arhar (Tur/Red gram),2005-2006,132.80,98.50,742,,,,
Punjab,,Arhar (Tur/Red gram),2005-2006,7.80,6.90,885,,,,
Rajasthan ,,Arhar (Tur/Red gram),2005-2006,20.40,13.20,647,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2005-2006,37.80,20.40,540,,,,
Tripura,,Arhar (Tur/Red gram),2005-2006,1.30,0.90,692,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2005-2006,382.50,377.60,987,,,,
Uttarakhand,,Arhar (Tur/Red gram),2005-2006,1.00,1.00,1000,,,,
West Bengal,,Arhar (Tur/Red gram),2005-2006,1.80,1.60,889,,,,
India ,,Arhar (Tur/Red gram),2005-2006,3580.70,2738.00,765,,,,
Andaman & Nicobar Islands,,Arhar (Tur/Red gram),2006-2007,0.10,0.10,1000,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2006-2007,401.00,161.00,401,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2006-2007,0.50,0.50,1000,,,,
Assam,,Arhar (Tur/Red gram),2006-2007,7.00,5.00,714,,,,
Bihar,,Arhar (Tur/Red gram),2006-2007,35.90,35.50,989,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2006-2007,53.30,22.70,426,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2006-2007,1.50,1.30,867,,,,
Delhi ,,Arhar (Tur/Red gram),2006-2007,0.40,0.60,1500,,,,
Gujarat,,Arhar (Tur/Red gram),2006-2007,289.00,217.00,751,,,,
Haryana,,Arhar (Tur/Red gram),2006-2007,30.00,33.00,1100,,,,
Jharkhand,,Arhar (Tur/Red gram),2006-2007,93.40,60.20,645,,,,
Karnataka,,Arhar (Tur/Red gram),2006-2007,596.00,280.00,470,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2006-2007,322.50,220.20,683,,,,
Maharashtra,,Arhar (Tur/Red gram),2006-2007,1123.00,815.00,726,,,,
Meghalaya,,Arhar (Tur/Red gram),2006-2007,0.80,0.60,750,,,,
Mizoram,,Arhar (Tur/Red gram),2006-2007,0.10,0.10,1000,,,,
Nagaland,,Arhar (Tur/Red gram),2006-2007,8.50,10.20,1200,,,,
Odisha,,Arhar (Tur/Red gram),2006-2007,132.60,106.50,803,,,,
Punjab,,Arhar (Tur/Red gram),2006-2007,7.20,6.70,931,,,,
Rajasthan ,,Arhar (Tur/Red gram),2006-2007,18.50,9.30,503,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2006-2007,29.10,21.30,732,,,,
Tripura,,Arhar (Tur/Red gram),2006-2007,1.20,0.90,750,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2006-2007,406.00,304.00,749,,,,
Uttarakhand,,Arhar (Tur/Red gram),2006-2007,2.00,1.00,500,,,,
West Bengal,,Arhar (Tur/Red gram),2006-2007,2.00,1.40,700,,,,
India ,,Arhar (Tur/Red gram),2006-2007,3561.60,2314.10,650,,,,
Andaman & Nicobar Islands,,Arhar (Tur/Red gram),2007-2008,0.10,0.14,1400,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2007-2008,463.00,302.00,652,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2007-2008,0.50,0.50,1000,,,,
Assam,,Arhar (Tur/Red gram),2007-2008,6.00,4.00,667,,,,
Bihar,,Arhar (Tur/Red gram),2007-2008,34.30,34.70,1012,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2007-2008,53.80,28.10,522,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2007-2008,1.50,1.30,867,,,,
Delhi ,,Arhar (Tur/Red gram),2007-2008,0.40,0.60,1500,,,,
Gujarat,,Arhar (Tur/Red gram),2007-2008,265.00,294.00,1109,,,,
Haryana,,Arhar (Tur/Red gram),2007-2008,29.00,33.00,1138,,,,
Jharkhand,,Arhar (Tur/Red gram),2007-2008,117.00,93.60,800,,,,
Karnataka,,Arhar (Tur/Red gram),2007-2008,681.00,485.00,712,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2007-2008,324.80,217.60,670,,,,
Maharashtra,,Arhar (Tur/Red gram),2007-2008,1175.00,1083.00,922,,,,
Meghalaya,,Arhar (Tur/Red gram),2007-2008,0.80,0.60,750,,,,
Mizoram,,Arhar (Tur/Red gram),2007-2008,0.10,0.10,1000,,,,
Nagaland,,Arhar (Tur/Red gram),2007-2008,9.00,10.70,1189,,,,
Odisha,,Arhar (Tur/Red gram),2007-2008,137.40,113.30,825,,,,
Punjab,,Arhar (Tur/Red gram),2007-2008,6.00,5.40,900,,,,
Rajasthan ,,Arhar (Tur/Red gram),2007-2008,17.70,15.50,876,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2007-2008,30.10,21.10,701,,,,
Tripura,,Arhar (Tur/Red gram),2007-2008,1.20,0.90,750,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2007-2008,368.00,327.90,891,,,,
Uttarakhand,,Arhar (Tur/Red gram),2007-2008,3.00,2.00,667,,,,
West Bengal,,Arhar (Tur/Red gram),2007-2008,1.10,0.90,818,,,,
India ,,Arhar (Tur/Red gram),2007-2008,3725.80,3075.94,826,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2008-2009,443.00,202.00,456,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2008-2009,0.40,0.40,1000,,,,
Assam,,Arhar (Tur/Red gram),2008-2009,5.40,3.80,704,,,,
Bihar,,Arhar (Tur/Red gram),2008-2009,28.10,33.10,1178,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2008-2009,53.00,30.90,583,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2008-2009,1.50,1.30,867,,,,
Delhi ,,Arhar (Tur/Red gram),2008-2009,0.30,0.60,2000,,,,
Gujarat,,Arhar (Tur/Red gram),2008-2009,266.00,263.00,989,,,,
Haryana,,Arhar (Tur/Red gram),2008-2009,33.00,36.00,1091,,,,
Jharkhand,,Arhar (Tur/Red gram),2008-2009,103.40,63.70,616,,,,
Karnataka,,Arhar (Tur/Red gram),2008-2009,597.00,315.00,528,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2008-2009,321.20,258.40,804,,,,
Maharashtra,,Arhar (Tur/Red gram),2008-2009,1009.00,605.00,600,,,,
Meghalaya,,Arhar (Tur/Red gram),2008-2009,0.80,0.60,750,,,,
Nagaland,,Arhar (Tur/Red gram),2008-2009,3.20,3.00,938,,,,
Odisha,,Arhar (Tur/Red gram),2008-2009,138.50,119.10,860,,,,
Punjab,,Arhar (Tur/Red gram),2008-2009,5.90,5.70,966,,,,
Rajasthan ,,Arhar (Tur/Red gram),2008-2009,19.30,14.90,772,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2008-2009,29.30,17.80,608,,,,
Tripura,,Arhar (Tur/Red gram),2008-2009,1.00,0.70,700,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2008-2009,315.00,288.00,914,,,,
Uttarakhand,,Arhar (Tur/Red gram),2008-2009,3.00,2.00,667,,,,
West Bengal,,Arhar (Tur/Red gram),2008-2009,0.60,0.50,833,,,,
India ,,Arhar (Tur/Red gram),2008-2009,3377.90,2265.50,671,,,,
Andaman & Nicobar Islands,,Arhar (Tur/Red gram),2009-2010,0.30,0.16,547,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2009-2010,463.00,203.00,438,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2009-2010,0.60,0.50,833,,,,
Assam,,Arhar (Tur/Red gram),2009-2010,6.20,4.40,709,,,,
Bihar,,Arhar (Tur/Red gram),2009-2010,27.90,42.24,1514,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2009-2010,60.00,30.60,510,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2009-2010,1.51,1.20,800,,,,
Delhi ,,Arhar (Tur/Red gram),2009-2010,0.40,0.74,1838,,,,
Gujarat,,Arhar (Tur/Red gram),2009-2010,266.00,241.00,906,,,,
Haryana,,Arhar (Tur/Red gram),2009-2010,22.00,23.00,1045,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),2009-2010,-,0.00,-,,,,
Jharkhand,,Arhar (Tur/Red gram),2009-2010,61.20,53.28,871,,,,
Karnataka,,Arhar (Tur/Red gram),2009-2010,604.00,282.00,467,,,,
Kerala,,Arhar (Tur/Red gram),2009-2010,2.64,3.96,1496,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2009-2010,362.10,308.00,851,,,,
Maharashtra,,Arhar (Tur/Red gram),2009-2010,1093.00,919.00,841,,,,
Meghalaya,,Arhar (Tur/Red gram),2009-2010,0.78,0.61,784,,,,
Nagaland,,Arhar (Tur/Red gram),2009-2010,3.00,2.11,703,,,,
Odisha,,Arhar (Tur/Red gram),2009-2010,132.90,111.80,841,,,,
Punjab,,Arhar (Tur/Red gram),2009-2010,4.60,4.40,957,,,,
Rajasthan ,,Arhar (Tur/Red gram),2009-2010,18.30,6.98,381,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2009-2010,26.50,20.28,765,,,,
Tripura,,Arhar (Tur/Red gram),2009-2010,0.99,0.72,725,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2009-2010,305.00,202.00,662,,,,
Uttarakhand,,Arhar (Tur/Red gram),2009-2010,2.00,2.00,1000,,,,
West Bengal,,Arhar (Tur/Red gram),2009-2010,0.80,0.58,728,,,,
India ,,Arhar (Tur/Red gram),2009-2010,3465.72,2464.55,711,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2010-2011,638.80,265.00,415,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2010-2011,0.60,0.50,833,,,,
Assam,,Arhar (Tur/Red gram),2010-2011,7.10,5.10,718,,,,
Bihar,,Arhar (Tur/Red gram),2010-2011,26.00,36.50,1404,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2010-2011,55.00,24.20,440,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2010-2011,2.03,1.63,801,,,,
Delhi ,,Arhar (Tur/Red gram),2010-2011,0.40,0.70,1750,,,,
Gujarat,,Arhar (Tur/Red gram),2010-2011,277.00,273.00,986,,,,
Haryana,,Arhar (Tur/Red gram),2010-2011,25.00,27.00,1080,,,,
Jharkhand,,Arhar (Tur/Red gram),2010-2011,103.80,71.20,686,,,,
Karnataka,,Arhar (Tur/Red gram),2010-2011,891.00,529.00,594,,,,
Kerala,,Arhar (Tur/Red gram),2010-2011,2.00,2.98,1490,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2010-2011,487.50,164.50,337,,,,
Maharashtra,,Arhar (Tur/Red gram),2010-2011,1302.00,976.00,750,,,,
Meghalaya,,Arhar (Tur/Red gram),2010-2011,0.80,0.60,750,,,,
Nagaland,,Arhar (Tur/Red gram),2010-2011,2.50,2.10,840,,,,
Odisha,,Arhar (Tur/Red gram),2010-2011,135.40,124.00,916,,,,
Punjab,,Arhar (Tur/Red gram),2010-2011,4.20,3.90,929,,,,
Rajasthan ,,Arhar (Tur/Red gram),2010-2011,21.30,16.20,761,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2010-2011,35.80,23.70,662,,,,
Tripura,,Arhar (Tur/Red gram),2010-2011,1.20,0.90,750,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2010-2011,344.00,309.00,898,,,,
Uttarakhand,,Arhar (Tur/Red gram),2010-2011,1.70,1.20,706,,,,
West Bengal,,Arhar (Tur/Red gram),2010-2011,1.56,2.21,1423,,,,
India ,,Arhar (Tur/Red gram),2010-2011,4366.69,2861.12,655,,,,
Andaman & Nicobar Islands,,Arhar (Tur/Red gram),2011-2012,0.21,0.06,286,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2011-2012,482.00,146.00,303,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2011-2012,0.66,0.58,879,,,,
Assam,,Arhar (Tur/Red gram),2011-2012,5.70,4.07,714,,,,
Bihar,,Arhar (Tur/Red gram),2011-2012,22.13,33.50,1514,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2011-2012,54.10,23.40,433,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2011-2012,1.51,1.21,801,,,,
Delhi ,,Arhar (Tur/Red gram),2011-2012,0.33,0.57,1727,,,,
Gujarat,,Arhar (Tur/Red gram),2011-2012,244.00,257.00,1053,,,,
Haryana,,Arhar (Tur/Red gram),2011-2012,18.00,20.00,1111,,,,
Jharkhand,,Arhar (Tur/Red gram),2011-2012,113.91,103.01,904,,,,
Karnataka,,Arhar (Tur/Red gram),2011-2012,767.00,354.00,462,,,,
Kerala,,Arhar (Tur/Red gram),2011-2012,1.50,2.54,1693,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2011-2012,534.90,334.20,625,,,,
Maharashtra,,Arhar (Tur/Red gram),2011-2012,1233.00,871.00,706,,,,
Meghalaya,,Arhar (Tur/Red gram),2011-2012,0.79,0.60,759,,,,
Nagaland,,Arhar (Tur/Red gram),2011-2012,2.52,2.15,853,,,,
Odisha,,Arhar (Tur/Red gram),2011-2012,142.14,115.38,812,,,,
Punjab,,Arhar (Tur/Red gram),2011-2012,3.00,3.00,1000,,,,
Rajasthan ,,Arhar (Tur/Red gram),2011-2012,19.12,12.74,666,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2011-2012,35.97,31.29,870,,,,
Tripura,,Arhar (Tur/Red gram),2011-2012,1.62,1.21,747,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2011-2012,320.00,334.00,1044,,,,
Uttarakhand,,Arhar (Tur/Red gram),2011-2012,2.00,2.00,1000,,,,
West Bengal,,Arhar (Tur/Red gram),2011-2012,1.25,0.54,432,,,,
India ,,Arhar (Tur/Red gram),2011-2012,4007.37,2654.05,662,,,,
Andaman & Nicobar Islands,,Arhar (Tur/Red gram),2012-2013,0.05,0.02,283,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2012-2013,479.00,251.00,524,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2012-2013,0.49,0.48,968,,,,
Assam,,Arhar (Tur/Red gram),2012-2013,5.96,4.94,829,,,,
Bihar,,Arhar (Tur/Red gram),2012-2013,22.11,47.12,2131,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2012-2013,52.10,32.30,620,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2012-2013,1.33,1.06,800,,,,
Delhi ,,Arhar (Tur/Red gram),2012-2013,0.29,0.50,1724,,,,
Gujarat,,Arhar (Tur/Red gram),2012-2013,228.00,270.00,1184,,,,
Haryana,,Arhar (Tur/Red gram),2012-2013,15.10,16.40,1086,,,,
Jharkhand,,Arhar (Tur/Red gram),2012-2013,195.67,202.40,1034,,,,
Karnataka,,Arhar (Tur/Red gram),2012-2013,660.00,366.30,555,,,,
Kerala,,Arhar (Tur/Red gram),2012-2013,1.19,1.89,1588,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2012-2013,530.50,351.00,662,,,,
Maharashtra,,Arhar (Tur/Red gram),2012-2013,1180.00,966.00,819,,,,
Meghalaya,,Arhar (Tur/Red gram),2012-2013,0.79,0.91,1152,,,,
Nagaland,,Arhar (Tur/Red gram),2012-2013,2.88,2.59,899,,,,
Odisha,,Arhar (Tur/Red gram),2012-2013,140.87,128.48,912,,,,
Punjab,,Arhar (Tur/Red gram),2012-2013,3.10,2.80,903,,,,
Rajasthan ,,Arhar (Tur/Red gram),2012-2013,16.82,14.79,879,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2012-2013,39.63,31.12,785,,,,
Tripura,,Arhar (Tur/Red gram),2012-2013,1.50,1.12,749,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2012-2013,311.00,325.00,1045,,,,
Uttarakhand,,Arhar (Tur/Red gram),2012-2013,3.03,2.42,799,,,,
West Bengal,,Arhar (Tur/Red gram),2012-2013,1.43,2.05,1434,,,,
India ,,Arhar (Tur/Red gram),2012-2013,3892.86,3022.70,776,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2013-2014,184.47,103.52,561,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2013-2014,0.45,0.50,1111,,,,
Assam,,Arhar (Tur/Red gram),2013-2014,6.05,5.64,932,,,,
Bihar,,Arhar (Tur/Red gram),2013-2014,21.87,36.46,1667,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2013-2014,50.85,31.20,614,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2013-2014,1.63,1.31,804,,,,
Gujarat,,Arhar (Tur/Red gram),2013-2014,210.00,209.00,995,,,,
Haryana,,Arhar (Tur/Red gram),2013-2014,9.35,11.00,1176,,,,
Jharkhand,,Arhar (Tur/Red gram),2013-2014,196.75,205.15,1043,,,,
Karnataka,,Arhar (Tur/Red gram),2013-2014,824.00,587.51,713,,,,
Kerala,,Arhar (Tur/Red gram),2013-2014,0.85,0.80,941,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2013-2014,464.00,332.00,716,,,,
Maharashtra,,Arhar (Tur/Red gram),2013-2014,1141.00,1034.00,906,,,,
Meghalaya,,Arhar (Tur/Red gram),2013-2014,1.05,1.43,1362,,,,
Nagaland,,Arhar (Tur/Red gram),2013-2014,2.97,2.66,896,,,,
Odisha,,Arhar (Tur/Red gram),2013-2014,138.88,124.44,896,,,,
Punjab,,Arhar (Tur/Red gram),2013-2014,2.90,2.60,897,,,,
Rajasthan ,,Arhar (Tur/Red gram),2013-2014,14.49,9.41,649,,,,
Tamil Nadu,,Arhar (Tur/Red gram),2013-2014,59.64,57.67,967,,,,
Telangana,,Arhar (Tur/Red gram),2013-2014,263.53,139.48,529,,,,
Tripura,,Arhar (Tur/Red gram),2013-2014,3.85,2.76,717,,,,
Uttar Pradesh,,Arhar (Tur/Red gram),2013-2014,301.00,271.00,900,,,,
Uttarakhand,,Arhar (Tur/Red gram),2013-2014,3.37,2.73,810,,,,
West Bengal,,Arhar (Tur/Red gram),2013-2014,1.49,2.12,1429,,,,
India ,,Arhar (Tur/Red gram),2013-2014,3904.44,3174.40,813,,,,
Andaman & Nicobar Islands,,Arhar (Tur/Red gram),2014-2015,0.01,0.01,1000,,,,
Andhra Pradesh,,Arhar (Tur/Red gram),2014-2015,151.00,76.00,503,,,,
Arunachal Pradesh,,Arhar (Tur/Red gram),2014-2015,0.55,0.60,1091,,,,
Assam,,Arhar (Tur/Red gram),2014-2015,6.10,5.74,941,,,,
Bihar,,Arhar (Tur/Red gram),2014-2015,19.85,28.54,1438,,,,
Chhattisgarh,,Arhar (Tur/Red gram),2014-2015,53.14,33.80,636,,,,
Dadra & Nagar Haveli  ,,Arhar (Tur/Red gram),2014-2015,1.64,1.32,805,,,,
Gujarat,,Arhar (Tur/Red gram),2014-2015,214.00,235.00,1098,,,,
Haryana,,Arhar (Tur/Red gram),2014-2015,6.10,6.70,1098,,,,
Himachal Pradesh,,Arhar (Tur/Red gram),2014-2015,0.02,0.01,500,,,,
Jharkhand,,Arhar (Tur/Red gram),2014-2015,195.92,199.52,1018,,,,
Karnataka,,Arhar (Tur/Red gram),2014-2015,728.00,474.00,651,,,,
Kerala,,Arhar (Tur/Red gram),2014-2015,0.26,0.49,1885,,,,
Madhya Pradesh,,Arhar (Tur/Red gram),2014-2015,521.00,511.00,981,,,,
Maharashtra,,Arhar (Tur/Red gram),2014-2015,1210.00,726.00,600,,,,
Manipur,,Arhar (Tur/Red gram),2014-2015,0.53,0.52,989,,,,
Meghalaya,,Arhar (Tur/Red gram),2014-2015,1.15,1.47,1278,,,,
Nagaland,,Arhar (Tur/Red gram),2014-2015,3.01,2.71,900,,,,
Odisha,,Arhar (Tur/Red gram),2014-2015,137.90,123.81,898,,,,
