States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
India,Total,Urad,1975-1976,2161.00,757.00,350
Andhra Pradesh,Kharif,Urad,1976-1977,39.00,7.00,179
Bihar,Kharif,Urad,1976-1977,100.00,38.00,380
Dadra & Nagar Haveli  ,Kharif,Urad,1976-1977,2.00,1.00,500
Haryana,Kharif,Urad,1976-1977,8.00,5.00,625
Himachal Pradesh,Kharif,Urad,1976-1977,25.00,9.00,360
Jammu & Kashmir,Kharif,Urad,1976-1977,18.00,7.00,389
Karnataka,Kharif,Urad,1976-1977,37.00,8.00,216
Madhya Pradesh,Kharif,Urad,1976-1977,569.00,143.00,251
Maharashtra,Kharif,Urad,1976-1977,458.00,163.00,356
Punjab,Kharif,Urad,1976-1977,18.00,8.00,444
Rajasthan,Kharif,Urad,1976-1977,91.00,41.00,451
Tamil Nadu,Kharif,Urad,1976-1977,120.00,42.00,350
Tripura,Kharif,Urad,1976-1977,1.00,1.00,1000
Uttar Pradesh,Kharif,Urad,1976-1977,134.00,39.00,291
West Bengal,Kharif,Urad,1976-1977,59.00,37.00,627
India,Kharif,Urad,1976-1977,1681.00,546.00,325
Andhra Pradesh,Rabi,Urad,1976-1977,137.00,58.00,423
Assam,Rabi,Urad,1976-1977,49.00,17.00,347
Karnataka,Rabi,Urad,1976-1977,6.00,1.00,167
Madhya Pradesh,Rabi,Urad,1976-1977,54.00,9.00,167
Maharashtra,Rabi,Urad,1976-1977,37.00,10.00,270
Puducherry,Rabi,Urad,1976-1977,3.00,2.00,667
Tripura,Rabi,Urad,1976-1977,1.00,-,-
West Bengal,Rabi,Urad,1976-1977,106.00,50.00,472
India,Rabi,Urad,1976-1977,393.00,147.00,374
Andhra Pradesh,Total,Urad,1976-1977,177.00,65.00,367
Assam,Total,Urad,1976-1977,49.00,17.00,347
Bihar,Total,Urad,1976-1977,100.00,38.00,380
Dadra & Nagar Haveli  ,Total,Urad,1976-1977,2.00,1.00,500
Haryana,Total,Urad,1976-1977,8.00,5.00,625
Himachal Pradesh,Total,Urad,1976-1977,25.00,9.00,360
Jammu & Kashmir,Total,Urad,1976-1977,18.00,7.00,389
Karnataka,Total,Urad,1976-1977,43.00,8.00,186
Madhya Pradesh,Total,Urad,1976-1977,623.00,152.00,244
Maharashtra,Total,Urad,1976-1977,496.00,173.00,349
Puducherry,Total,Urad,1976-1977,3.00,2.00,667
Punjab,Total,Urad,1976-1977,18.00,8.00,444
Rajasthan,Total,Urad,1976-1977,91.00,41.00,451
Tamil Nadu,Total,Urad,1976-1977,120.00,42.00,350
Tripura,Total,Urad,1976-1977,2.00,1.00,500
Uttar Pradesh,Total,Urad,1976-1977,134.00,39.00,291
