States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Kerala,,Total Pulses,1965-1966,43.00,17.00,390
Madhya Pradesh,,Total Pulses,1965-1966,3756.00,1506.00,401
Maharashtra,,Total Pulses,1965-1966,2332.00,658.00,282
Odisha,,Total Pulses,1965-1966,884.00,314.00,355
Punjab,,Total Pulses,1965-1966,645.00,390.00,605
Rajasthan,,Total Pulses,1965-1966,3013.00,691.00,229
Tamil Nadu,,Total Pulses,1965-1966,398.00,102.00,256
Tripura,,Total Pulses,1965-1966,2.00,1.00,500
Uttar Pradesh,,Total Pulses,1965-1966,4503.00,3277.00,728
West Bengal,,Total Pulses,1965-1966,771.00,438.00,568
India,,Total Pulses,1965-1966,22717.00,9944.00,438
Andhra Pradesh,,Total Pulses,1966-1967,1307.00,256.00,196
Assam,,Total Pulses,1966-1967,84.00,35.00,423
Bihar,,Total Pulses,1966-1967,1916.00,886.00,462
Dadra & Nagar Haveli  ,,Total Pulses,1966-1967,-,1.00,-
Delhi,,Total Pulses,1966-1967,15.00,6.00,400
Gujarat,,Total Pulses,1966-1967,402.00,118.00,293
Haryana,,Total Pulses,1966-1967,1164.00,570.00,490
Himachal Pradesh,,Total Pulses,1966-1967,49.00,14.00,293
Jammu & Kashmir,,Total Pulses,1966-1967,50.00,36.00,693
Karnataka,,Total Pulses,1966-1967,1075.00,321.00,298
Kerala,,Total Pulses,1966-1967,44.00,17.00,394
Madhya Pradesh,,Total Pulses,1966-1967,3722.00,1077.00,289
Maharashtra,,Total Pulses,1966-1967,2232.00,742.00,332
Odisha,,Total Pulses,1966-1967,819.00,434.00,530
Punjab,,Total Pulses,1966-1967,683.00,530.00,776
Rajasthan,,Total Pulses,1966-1967,3080.00,780.00,243
Tamil Nadu,,Total Pulses,1966-1967,404.00,96.00,239
Tripura,,Total Pulses,1966-1967,3.00,1.00,333
Uttar Pradesh,,Total Pulses,1966-1967,4284.00,2006.00,468
West Bengal,,Total Pulses,1966-1967,787.00,421.00,534
India,,Total Pulses,1966-1967,22121.00,8347.00,377
Andhra Pradesh,,Total Pulses,1967-1968,1350.00,277.00,205
Assam,,Total Pulses,1967-1968,87.00,37.00,425
Bihar,,Total Pulses,1967-1968,1704.00,1284.00,754
Dadra & Nagar Haveli  ,,Total Pulses,1967-1968,-,1.00,-
Delhi,,Total Pulses,1967-1968,20.00,20.00,1000
Gujarat,,Total Pulses,1967-1968,421.00,153.00,363
Haryana,,Total Pulses,1967-1968,1294.00,1312.00,1014
Himachal Pradesh,,Total Pulses,1967-1968,57.00,20.00,354
Jammu & Kashmir,,Total Pulses,1967-1968,53.00,34.00,679
