States/UTs,Season,Crop,Year,"Area
(In '000 Hectare)","Production
(In '000 Tonne)","Yield
(In Kg./Hectare)"
Maharashtra,Kharif,Moong,2000-2001,714.00,244.00,341
Odisha,Kharif,Moong,2000-2001,99.00,16.00,164
Punjab,Kharif,Moong,2000-2001,30.00,18.00,624
Rajasthan,Kharif,Moong,2000-2001,458.00,79.00,173
Tamil Nadu,Kharif,Moong,2000-2001,52.00,24.00,462
Tripura,Kharif,Moong,2000-2001,2.00,1.00,474
Uttar Pradesh,Kharif,Moong,2000-2001,28.00,9.00,303
West Bengal,Kharif,Moong,2000-2001,1.00,-,-
India,Kharif,Moong,2000-2001,2482.00,786.00,317
Andhra Pradesh,Rabi,Moong,2000-2001,128.00,43.00,335
Assam,Rabi,Moong,2000-2001,7.00,3.00,459
Bihar,Rabi,Moong,2000-2001,178.00,103.00,582
Chhattisgarh,Rabi,Moong,2000-2001,4.00,1.00,209
Gujarat,Rabi,Moong,2000-2001,3.00,2.00,667
Karnataka,Rabi,Moong,2000-2001,16.00,4.00,265
Madhya Pradesh,Rabi,Moong,2000-2001,3.00,1.00,222
Odisha,Rabi,Moong,2000-2001,49.00,13.00,268
Puducherry,Rabi,Moong,2000-2001,3.00,1.00,560
Tamil Nadu,Rabi,Moong,2000-2001,76.00,37.00,485
Uttar Pradesh,Rabi,Moong,2000-2001,53.00,24.00,452
West Bengal,Rabi,Moong,2000-2001,11.00,6.00,585
India,Rabi,Moong,2000-2001,527.00,237.00,449
Andhra Pradesh,Total,Moong,2000-2001,520.00,184.00,354
Assam,Total,Moong,2000-2001,7.00,3.00,459
Bihar,Total,Moong,2000-2001,187.00,108.00,578
Chhattisgarh,Total,Moong,2000-2001,14.00,4.00,286
Gujarat,Total,Moong,2000-2001,153.00,40.00,264
Haryana,Total,Moong,2000-2001,10.00,2.00,184
Jammu & Kashmir,Total,Moong,2000-2001,2.00,1.00,450
Jharkhand,Total,Moong,2000-2001,1.00,1.00,538
Karnataka,Total,Moong,2000-2001,451.00,185.00,410
Kerala,Total,Moong,2000-2001,2.00,1.00,824
Madhya Pradesh,Total,Moong,2000-2001,90.00,23.00,256
Maharashtra,Total,Moong,2000-2001,714.00,244.00,341
Odisha,Total,Moong,2000-2001,147.00,29.00,199
Puducherry,Total,Moong,2000-2001,3.00,1.00,560
Punjab,Total,Moong,2000-2001,30.00,18.00,624
Rajasthan,Total,Moong,2000-2001,458.00,79.00,173
Tamil Nadu,Total,Moong,2000-2001,127.00,61.00,476
Tripura,Total,Moong,2000-2001,2.00,1.00,455
Uttar Pradesh,Total,Moong,2000-2001,82.00,33.00,400
West Bengal,Total,Moong,2000-2001,11.00,7.00,580
India,Total,Moong,2000-2001,3008.00,1023.00,340
Andhra Pradesh,Kharif,Moong,2001-2002,338.00,113.00,335
Bihar,Kharif,Moong,2001-2002,8.00,4.00,494
Chhattisgarh,Kharif,Moong,2001-2002,10.00,3.00,299
Gujarat,Kharif,Moong,2001-2002,168.00,77.00,455
Haryana,Kharif,Moong,2001-2002,15.00,4.00,230
Jammu & Kashmir,Kharif,Moong,2001-2002,2.00,1.00,458
Karnataka,Kharif,Moong,2001-2002,251.00,65.00,260
Kerala,Kharif,Moong,2001-2002,2.00,1.00,765
Madhya Pradesh,Kharif,Moong,2001-2002,83.00,29.00,342
Maharashtra,Kharif,Moong,2001-2002,711.00,291.00,409
Odisha,Kharif,Moong,2001-2002,131.00,28.00,210
Punjab,Kharif,Moong,2001-2002,23.00,11.00,478
Rajasthan,Kharif,Moong,2001-2002,702.00,207.00,295
Tamil Nadu,Kharif,Moong,2001-2002,55.00,25.00,458
Tripura,Kharif,Moong,2001-2002,1.00,-,-
Uttar Pradesh,Kharif,Moong,2001-2002,28.00,8.00,274
West Bengal,Kharif,Moong,2001-2002,1.00,-,-
India,Kharif,Moong,2001-2002,2530.00,867.00,343
Andhra Pradesh,Rabi,Moong,2001-2002,138.00,42.00,304
Assam,Rabi,Moong,2001-2002,8.00,4.00,451
Bihar,Rabi,Moong,2001-2002,173.00,103.00,598
Chhattisgarh,Rabi,Moong,2001-2002,6.00,2.00,268
Gujarat,Rabi,Moong,2001-2002,2.00,1.00,583
Karnataka,Rabi,Moong,2001-2002,7.00,2.00,296
Madhya Pradesh,Rabi,Moong,2001-2002,3.00,1.00,241
Maharashtra,Rabi,Moong,2001-2002,12.00,6.00,500
Odisha,Rabi,Moong,2001-2002,82.00,24.00,289
Tamil Nadu,Rabi,Moong,2001-2002,74.00,33.00,446
Uttar Pradesh,Rabi,Moong,2001-2002,44.00,22.00,500
West Bengal,Rabi,Moong,2001-2002,10.00,6.00,553
India,Rabi,Moong,2001-2002,557.00,244.00,438
Andhra Pradesh,Total,Moong,2001-2002,476.00,155.00,326
Assam,Total,Moong,2001-2002,8.00,4.00,451
Bihar,Total,Moong,2001-2002,181.00,107.00,594
Chhattisgarh,Total,Moong,2001-2002,16.00,5.00,313
Gujarat,Total,Moong,2001-2002,171.00,78.00,457
Haryana,Total,Moong,2001-2002,15.00,4.00,230
Jammu & Kashmir,Total,Moong,2001-2002,2.00,1.00,458
Karnataka,Total,Moong,2001-2002,258.00,67.00,261
Kerala,Total,Moong,2001-2002,2.00,1.00,765
Madhya Pradesh,Total,Moong,2001-2002,86.00,1.00,8
Maharashtra,Total,Moong,2001-2002,723.00,297.00,411
Odisha,Total,Moong,2001-2002,213.00,51.00,240
Punjab,Total,Moong,2001-2002,23.00,11.00,478
Rajasthan,Total,Moong,2001-2002,702.00,207.00,295
Tamil Nadu,Total,Moong,2001-2002,129.00,58.00,451
Tripura,Total,Moong,2001-2002,1.00,1.00,500
Uttar Pradesh,Total,Moong,2001-2002,72.00,30.00,412
West Bengal,Total,Moong,2001-2002,11.00,6.00,550
India,Total,Moong,2001-2002,3087.00,1111.00,360
Andhra Pradesh,Kharif,Moong,2002-2003,355.00,87.00,245
Bihar,Kharif,Moong,2002-2003,11.00,6.00,533
Chhattisgarh,Kharif,Moong,2002-2003,10.00,2.00,240
Gujarat,Kharif,Moong,2002-2003,140.00,32.00,230
Haryana,Kharif,Moong,2002-2003,23.00,4.00,175
Jammu & Kashmir,Kharif,Moong,2002-2003,3.00,1.00,444
Jharkhand,Kharif,Moong,2002-2003,10.00,5.00,521
Karnataka,Kharif,Moong,2002-2003,402.00,26.00,66
Madhya Pradesh,Kharif,Moong,2002-2003,83.00,23.00,275
Maharashtra,Kharif,Moong,2002-2003,762.00,376.00,493
Odisha,Kharif,Moong,2002-2003,89.00,14.00,158
Punjab,Kharif,Moong,2002-2003,16.00,11.00,669
Rajasthan,Kharif,Moong,2002-2003,515.00,33.00,63
Tamil Nadu,Kharif,Moong,2002-2003,32.00,11.00,336
Tripura,Kharif,Moong,2002-2003,1.00,-,-
Uttar Pradesh,Kharif,Moong,2002-2003,22.00,6.00,284
West Bengal,Kharif,Moong,2002-2003,1.00,-,500
India,Kharif,Moong,2002-2003,2475.00,638.00,258
Andhra Pradesh,Rabi,Moong,2002-2003,118.00,30.00,255
Assam,Rabi,Moong,2002-2003,7.00,30.00,4286
Bihar,Rabi,Moong,2002-2003,185.00,113.00,609
Chhattisgarh,Rabi,Moong,2002-2003,7.00,2.00,250
Gujarat,Rabi,Moong,2002-2003,4.00,2.00,524
Karnataka,Rabi,Moong,2002-2003,11.00,2.00,171
Madhya Pradesh,Rabi,Moong,2002-2003,3.00,1.00,250
Maharashtra,Rabi,Moong,2002-2003,12.00,6.00,475
Odisha,Rabi,Moong,2002-2003,79.00,24.00,306
Tamil Nadu,Rabi,Moong,2002-2003,76.00,26.00,344
Uttar Pradesh,Rabi,Moong,2002-2003,32.00,18.00,563
West Bengal,Rabi,Moong,2002-2003,9.00,5.00,522
India,Rabi,Moong,2002-2003,540.00,229.00,425
Andhra Pradesh,Total,Moong,2002-2003,473.00,117.00,247
Assam,Total,Moong,2002-2003,7.00,30.00,4286
Bihar,Total,Moong,2002-2003,196.00,119.00,605
Chhattisgarh,Total,Moong,2002-2003,16.00,4.00,244
Gujarat,Total,Moong,2002-2003,144.00,35.00,239
Haryana,Total,Moong,2002-2003,23.00,4.00,175
Jammu & Kashmir,Total,Moong,2002-2003,3.00,1.00,444
Jharkhand,Total,Moong,2002-2003,10.00,5.00,521
Karnataka,Total,Moong,2002-2003,413.00,28.00,68
Madhya Pradesh,Total,Moong,2002-2003,86.00,24.00,274
Maharashtra,Total,Moong,2002-2003,774.00,382.00,493
Odisha,Total,Moong,2002-2003,168.00,38.00,228
Punjab,Total,Moong,2002-2003,16.00,11.00,669
Rajasthan,Total,Moong,2002-2003,515.00,33.00,63
Tamil Nadu,Total,Moong,2002-2003,108.00,37.00,342
Tripura,Total,Moong,2002-2003,1.00,-,-
Uttar Pradesh,Total,Moong,2002-2003,54.00,24.00,448
West Bengal,Total,Moong,2002-2003,10.00,5.00,520
India,Total,Moong,2002-2003,3015.00,867.00,288
Andhra Pradesh,Kharif,Moong,2003-2004,479.00,244.00,509
Bihar,Kharif,Moong,2003-2004,8.00,4.00,500
Chhattisgarh,Kharif,Moong,2003-2004,10.00,3.00,276
Gujarat,Kharif,Moong,2003-2004,207.00,121.00,586
Haryana,Kharif,Moong,2003-2004,25.00,4.00,159
Jammu & Kashmir,Kharif,Moong,2003-2004,2.00,1.00,500
Jharkhand,Kharif,Moong,2003-2004,13.00,5.00,392
Karnataka,Kharif,Moong,2003-2004,264.00,40.00,149
Madhya Pradesh,Kharif,Moong,2003-2004,89.00,31.00,355
Maharashtra,Kharif,Moong,2003-2004,700.00,391.00,558
Odisha,Kharif,Moong,2003-2004,133.00,29.00,216
Punjab,Kharif,Moong,2003-2004,19.00,16.00,836
Rajasthan,Kharif,Moong,2003-2004,829.00,514.00,620
Tamil Nadu,Kharif,Moong,2003-2004,37.00,16.00,425
Tripura,Kharif,Moong,2003-2004,1.00,-,-
Uttar Pradesh,Kharif,Moong,2003-2004,26.00,8.00,315
West Bengal,Kharif,Moong,2003-2004,1.00,-,500
India,Kharif,Moong,2003-2004,2841.00,1427.00,502
Andhra Pradesh,Rabi,Moong,2003-2004,202.00,68.00,337
Assam,Rabi,Moong,2003-2004,8.00,4.00,500
Bihar,Rabi,Moong,2003-2004,181.00,89.00,490
Chhattisgarh,Rabi,Moong,2003-2004,8.00,2.00,253
Gujarat,Rabi,Moong,2003-2004,5.00,3.00,510
Karnataka,Rabi,Moong,2003-2004,8.00,3.00,298
Madhya Pradesh,Rabi,Moong,2003-2004,3.00,1.00,258
Maharashtra,Rabi,Moong,2003-2004,11.00,4.00,364
